node1,node2,index1,index2
11,21,0,1
21,31,1,2
31,41,2,3
41,501,3,4
501,601,4,5
501,602,4,6
601,701,5,7
601,702,5,8
602,702,6,8
602,703,6,9
701,801,7,10
701,802,7,11
702,803,8,12
702,804,8,13
703,805,9,14
703,806,9,15
801,901,10,16
801,902,10,17
801,910,10,25
802,902,11,17
802,910,11,25
802,903,11,18
802,911,11,26
803,903,12,18
803,911,12,26
803,912,12,27
803,904,12,19
803,905,12,20
804,904,13,19
804,905,13,20
804,913,13,28
804,914,13,29
805,905,14,20
805,908,14,23
806,906,15,21
806,907,15,22
806,909,15,24
901,1001,16,30
902,1002,17,31
910,1010,25,39
903,1016,18,45
903,1017,18,46
903,1003,18,32
911,1011,26,40
912,1012,27,41
904,1004,19,33
904,1005,19,34
905,1006,20,35
913,1013,28,42
914,1014,29,43
914,1015,29,44
908,1008,23,37
907,1007,22,36
909,1009,24,38
